0,-20524,-32768,-32768,2 
1,-10156,-32768,-32768,2 
2,-2276,-32768,-24944,2 
3,-180,-32768,-8844,2 
4,-296,-28512,4696,2 
5,-1928,-13528,13420,2 
6,-1972,-804,19772,2 
7,-3224,8588,21292,2 
8,-2904,9980,20312,2 
9,-8740,7444,16036,2 
10,-11096,6208,10140,2 
11,-17028,4652,12108,2 
12,-15900,5360,9824,2 
13,-25780,10176,1836,2 
14,-30520,11288,1988,2 
15,-25068,18920,2296,2 
16,-28480,24380,664,2 
17,-32512,28240,-456,2 
18,-31508,28460,1632,2 
19,-25136,23456,2380,2 
20,-20572,15728,-1012,2 
21,-26176,13140,-21384,2 
22,-31772,9900,-32676,2 
23,-29040,8640,-25780,2 
24,-21616,4216,-14212,2 
25,-18568,848,-32200,2 
26,-32768,-3372,-19484,2 
27,-27104,-5824,-7912,2 
28,-27852,-5768,456,2 
29,-30048,-6764,13812,2 
30,-28160,-7836,26136,2 
31,-24640,-11308,32767,2 
32,-21280,-13624,32767,2 
33,-18072,-16548,32767,2 
34,-16536,-20412,32767,2 
35,-17476,-24052,32624,2 
36,-21148,-28436,29284,2 
37,-20912,-31744,25556,2 
38,-21284,-32768,22216,2 
39,-19520,-32768,18804,2 
40,-17580,-32328,16196,2 
41,-17248,-28732,13504,2 
42,-17292,-24428,6284,2 
43,-19544,-19112,-2324,2 
44,-21112,-14032,-11632,2 
45,-22104,-8028,-14440,2 
46,-22472,-1040,-19028,2 
47,-18500,5376,-18552,2 
48,-18652,14368,-19752,2 
49,-16692,19472,-18504,2 
50,-18088,25820,-15388,2 
51,-19216,29616,-10160,2 
52,-18740,32360,-7316,2 
53,-15732,32748,-5852,2 
54,-10632,30808,-5080,2 
55,-10068,27108,-4356,2 
56,-10420,23492,-2652,2 
57,-8736,17704,-1092,2 
58,-8768,13212,992,2 
59,-9924,8108,1800,2 
60,-10552,3596,4588,2 
61,-10944,2360,4552,2 
62,-11668,1308,3288,2 
63,-13776,904,-8232,2 
64,-14732,-16,-15988,2 
65,-16944,-1140,-17484,2 
66,-18320,-3952,-13384,2 
67,-17640,-5104,-7516,2 
68,-20500,-5096,-656,2 
69,-31744,-3072,7464,2 
70,-32768,-3844,19916,2 
71,-32768,-5660,28224,2 
72,-32768,-6928,32767,2 
73,-32768,-10616,32767,2 
74,-32768,-18380,32767,2 
75,-32472,-23368,32767,2 
76,-32768,-27796,32767,2 
77,-32764,-29748,28516,2 
78,-29804,-31176,24252,2 
79,-25828,-31136,18624,2 
80,-21848,-29596,14576,2 
81,-19284,-26164,9304,2 
82,-15724,-22052,5448,2 
83,-11788,-14628,2416,2 
84,-9692,-8944,36,2 
85,-7704,-3668,336,2 
86,-224,804,1136,2 
87,12,5328,692,2 
88,7120,12668,-13012,2 
89,4928,18548,-27736,2 
90,5852,24536,-32768,2 
91,6108,28308,-32768,2 
92,5044,30712,-32768,2 
93,3548,30112,-32768,2 
94,1580,28480,-32768,2 
95,-1776,25208,-27520,2 
96,-8816,22892,-14896,2 
97,-13704,21020,-5160,2 
98,-16768,19116,5324,2 
99,-23016,17140,12288,2 
100,-27216,12604,18772,2 
101,-31348,8172,18320,2 
102,-32768,6012,1376,2 
103,-32768,2032,-7932,2 
104,-32768,-2608,-10460,2 
105,-32768,-7296,4492,2 
106,-32768,-29036,13528,2 
107,-32768,-27540,32767,2 
108,-32768,-28316,22260,2 
109,-32768,-10528,31700,2 
110,-30080,-10592,32767,2 
111,-25656,-14500,32720,2 
112,-22476,-16460,28252,2 
113,-20696,-17492,21340,2 
114,-22136,-18540,14244,2 
115,-16212,-19884,7104,2 
116,-20480,-20400,6520,2 
117,-17812,-19392,7568,2 
118,-15268,-17108,8576,2 
119,-11384,-13164,8952,2 
120,-8144,-9436,7256,2 
121,-5580,-6004,5740,2 
122,-1352,-2496,1180,2 
123,-1472,864,-3860,2 
124,-1856,3488,-11192,2 
125,48,6440,-16696,2 
126,-676,9904,-21560,2 
127,-652,12660,-23136,2 
128,-564,15460,-23468,2 
129,-1980,16724,-21256,2 
130,-3024,16908,-17544,2 
131,-4616,16564,-11028,2 
132,-7420,16356,-6308,2 
133,-10576,13196,-992,2 
134,-14580,11512,1364,2 
135,-21064,7188,1656,2 
136,-25016,4524,-2704,2 
137,-29684,2384,-8860,2 
138,-32000,452,-12804,2 
139,-32736,-1164,-13180,2 
140,-29128,-3184,-6232,2 
141,-32420,-4480,2524,2 
142,-31808,-6464,8904,2 
143,-27544,-7964,16168,2 
144,-24708,-8752,19872,2 
145,-24336,-8524,24296,2 
146,-24816,-8512,28488,2 
147,-22540,-8892,31708,2 
148,-20184,-8752,32767,2 
149,-18884,-8500,32767,2 
150,-11480,-9548,24860,2 
151,-11932,-9328,13812,2 
152,-16480,-8808,-1044,2 
153,-18160,-8836,-9848,2 
154,-12584,-9056,-15036,2 
155,-14432,-7492,-15112,2 
156,-11596,-5676,-13416,2 
157,-9428,-3572,-9656,2 
158,-7672,-972,-5596,2 
159,-6912,1840,-2432,2 
160,-6776,4044,552,2 
161,-7488,5732,1716,2 
162,-7536,4608,2852,2 
163,-10932,3548,2800,2 
164,-12376,2316,1740,2 
165,-13244,1372,-956,2 
